feature,icc_A,n_A,n_missing_A_R1,reason
wavelet-HLL_firstorder_Energy,0.45972497878125823,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Entropy,0.7235252458999364,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Kurtosis,0.5534724693228166,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Maximum,0.5495733209553331,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.7026046523449168,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Mean,0.17369886703558665,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Median,0.4214637453590968,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Minimum,0.5736362394193858,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Range,0.5733068236015051,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_RootMeanSquared,0.6331186971299855,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Skewness,0.5060166461984725,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_TotalEnergy,0.4597249787812581,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_Variance,0.6151240839045976,22,0,ICC_A<=0.75
wavelet-HLL_glcm_Autocorrelation,0.5687101119404128,22,0,ICC_A<=0.75
wavelet-HLL_glcm_ClusterProminence,0.3382585272170155,22,0,ICC_A<=0.75
wavelet-HLL_glcm_ClusterShade,0.1896004118660571,22,0,ICC_A<=0.75
wavelet-HLL_glcm_ClusterTendency,0.6010718129530833,22,0,ICC_A<=0.75
wavelet-HLL_glcm_Contrast,0.654840501225321,22,0,ICC_A<=0.75
wavelet-HLL_glcm_Correlation,0.6039673171991051,22,0,ICC_A<=0.75
wavelet-HLL_glcm_DifferenceAverage,0.7332908092175063,22,0,ICC_A<=0.75
wavelet-HLL_glcm_DifferenceEntropy,0.7358934870773173,22,0,ICC_A<=0.75
wavelet-HLL_glcm_DifferenceVariance,0.5478887447863584,22,0,ICC_A<=0.75
wavelet-HLL_glcm_Idmn,0.637344107729064,22,0,ICC_A<=0.75
wavelet-HLL_glcm_Idn,0.6013387370161036,22,0,ICC_A<=0.75
wavelet-HLL_glcm_JointAverage,0.5683050898716097,22,0,ICC_A<=0.75
wavelet-HLL_glcm_JointEntropy,0.7397688003686518,22,0,ICC_A<=0.75
wavelet-HLL_glcm_MCC,0.33209697644282354,22,0,ICC_A<=0.75
wavelet-HLL_glcm_SumAverage,0.56830508987161,22,0,ICC_A<=0.75
wavelet-HLL_glcm_SumEntropy,0.724709791497824,22,0,ICC_A<=0.75
wavelet-HLL_glcm_SumSquares,0.6246003236519253,22,0,ICC_A<=0.75
wavelet-HLL_glrlm_GrayLevelVariance,0.6047160839925153,22,0,ICC_A<=0.75
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.5700423722996025,22,0,ICC_A<=0.75
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.5504274740934894,22,0,ICC_A<=0.75
wavelet-HLL_glrlm_RunEntropy,0.6421511104259063,22,0,ICC_A<=0.75
wavelet-HLL_glrlm_RunLengthNonUniformity,0.7083215606388525,22,0,ICC_A<=0.75
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.5749229905917853,22,0,ICC_A<=0.75
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.7368608308026866,22,0,ICC_A<=0.75
wavelet-HLL_glszm_GrayLevelVariance,0.49103682700811824,22,0,ICC_A<=0.75
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.5677517206937438,22,0,ICC_A<=0.75
wavelet-HLL_glszm_SizeZoneNonUniformity,0.6306889633249039,22,0,ICC_A<=0.75
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.6124232449085982,22,0,ICC_A<=0.75
wavelet-HLL_glszm_SmallAreaEmphasis,0.6145179506915026,22,0,ICC_A<=0.75
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.5785258329258388,22,0,ICC_A<=0.75
wavelet-HLL_glszm_ZoneEntropy,0.6046498469675363,22,0,ICC_A<=0.75
wavelet-HLL_gldm_DependenceEntropy,0.5460458129992118,22,0,ICC_A<=0.75
wavelet-HLL_gldm_DependenceNonUniformity,0.6680235262898474,22,0,ICC_A<=0.75
wavelet-HLL_gldm_GrayLevelVariance,0.6146580370456989,22,0,ICC_A<=0.75
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.5702874822705726,22,0,ICC_A<=0.75
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.5334239280057775,22,0,ICC_A<=0.75
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6547587352309331,22,0,ICC_A<=0.75
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.6375649457870664,22,0,ICC_A<=0.75
wavelet-HLL_ngtdm_Coarseness,0.6872579732436254,22,0,ICC_A<=0.75
wavelet-HLL_ngtdm_Complexity,0.47915393577089,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_10Percentile,0.312196238469894,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_90Percentile,0.3354472861824237,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Energy,0.24297824525524456,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Entropy,0.4897209923136963,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_InterquartileRange,0.34704249665309644,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Kurtosis,0.6556141783054946,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Maximum,0.09474946711828602,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.3106895793312717,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Mean,0.2099572110308297,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Median,0.21435375684580546,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Minimum,0.37262200485604063,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Range,0.22189717218005,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.33626723653883783,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_RootMeanSquared,0.29291806813132054,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Skewness,0.6431476464024894,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_TotalEnergy,0.24297824525524422,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Uniformity,0.5925434297431911,22,0,ICC_A<=0.75
wavelet-HLH_firstorder_Variance,0.11723845983648794,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Autocorrelation,0.22939167318440307,22,0,ICC_A<=0.75
wavelet-HLH_glcm_ClusterProminence,0.007590245844042087,22,0,ICC_A<=0.75
wavelet-HLH_glcm_ClusterShade,0.5301467594597262,22,0,ICC_A<=0.75
wavelet-HLH_glcm_ClusterTendency,0.14088417683980978,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Contrast,0.11875846515995607,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Correlation,0.6529267166665382,22,0,ICC_A<=0.75
wavelet-HLH_glcm_DifferenceAverage,0.33184210909173667,22,0,ICC_A<=0.75
wavelet-HLH_glcm_DifferenceEntropy,0.510137194531948,22,0,ICC_A<=0.75
wavelet-HLH_glcm_DifferenceVariance,0.1076435551510616,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Id,0.6196586126471144,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Idm,0.6452765152564166,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Idmn,0.4418478290049593,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Idn,0.4403174389268924,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Imc1,0.6609171816563547,22,0,ICC_A<=0.75
wavelet-HLH_glcm_Imc2,0.6730545518879958,22,0,ICC_A<=0.75
wavelet-HLH_glcm_InverseVariance,0.6358383349699802,22,0,ICC_A<=0.75
wavelet-HLH_glcm_JointAverage,0.3675511283519546,22,0,ICC_A<=0.75
wavelet-HLH_glcm_JointEnergy,0.5949689539485764,22,0,ICC_A<=0.75
wavelet-HLH_glcm_JointEntropy,0.5267287827648807,22,0,ICC_A<=0.75
