feature,icc_A,n_A,n_missing_A_R1,reason
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.7268724216275432,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_ngtdm_Busyness,0.7229851701743616,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.6726177219292834,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_ngtdm_Complexity,0.6436036562662842,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_ngtdm_Strength,0.6367719648941619,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.7068301893670152,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_firstorder_Energy,0.34483569611700426,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_firstorder_Maximum,0.7472800402174127,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_firstorder_Median,0.7160439916357876,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_firstorder_TotalEnergy,0.3448356961170039,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_firstorder_Variance,0.6683240057275199,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.7362180629164382,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.3992476494183025,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.6527155767396727,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_ClusterTendency,0.6311230939467277,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_Contrast,0.7265206523362874,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_Correlation,0.703486362648441,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_DifferenceVariance,0.7081397850789909,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_Imc1,0.647636664867361,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_JointAverage,0.7461438865881044,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_MCC,0.6965007308598334,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_SumAverage,0.7461438865881046,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glcm_SumSquares,0.6389052054464738,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,0.6631187458076659,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.7353287587183197,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.7184998271815812,22,0,ICC_A<=0.75
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,0.5986337910157238,22,0,ICC_A<=0.75
