feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,0.8956903352360526,22,0.560546710566446,8,True,0,True
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,0.6835701992029278,22,0.5060129319607306,8,False,0,False
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,0.7014680143210841,22,0.40693210405376723,8,False,0,False
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,0.856423245092972,22,0.8858172591998572,8,True,0,True
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.8330688997454044,22,0.5276899350472675,8,True,0,True
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.5613889701122146,22,0.800007572512743,8,False,0,False
log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,0.5631796849338528,22,0.726882874453771,8,False,0,False
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.8395444125419508,22,0.9296934080589595,8,True,0,True
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.6882841423752116,22,0.3222975900644281,8,False,0,False
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.7268724216275432,22,-0.048964550920592674,8,False,0,False
log-sigma-2-0-mm-3D_ngtdm_Busyness,0.7229851701743616,22,0.5712666714348998,8,False,0,False
log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.6726177219292834,22,0.22519310725361627,8,False,0,False
log-sigma-2-0-mm-3D_ngtdm_Complexity,0.6436036562662842,22,0.13723481400822712,8,False,0,False
log-sigma-2-0-mm-3D_ngtdm_Contrast,0.8487707059674559,22,0.8215083774632107,8,True,0,True
log-sigma-2-0-mm-3D_ngtdm_Strength,0.6367719648941619,22,0.8631953394346346,8,False,0,False
log-sigma-3-0-mm-3D_firstorder_10Percentile,0.9396564413691525,22,0.7870033142352094,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.7068301893670152,22,0.785386960766207,8,False,0,False
log-sigma-3-0-mm-3D_firstorder_Energy,0.34483569611700426,22,0.14888615487814147,8,False,0,False
log-sigma-3-0-mm-3D_firstorder_Entropy,0.8902774547762781,22,0.7255144310025596,8,True,0,True
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.8060559036143142,22,0.7949426961187177,8,True,0,True
