feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
wavelet-LHL_glcm_DifferenceEntropy,0.6731279755980372,22,-0.5232413859441726,8,False,0,False
wavelet-LHL_glcm_DifferenceVariance,0.6236556873041164,22,-0.5048930842926963,8,False,0,False
wavelet-LHL_glcm_Id,0.5822274928919937,22,-0.46466736451778656,8,False,0,False
wavelet-LHL_glcm_Idm,0.5536699923623697,22,-0.45812576482694123,8,False,0,False
wavelet-LHL_glcm_Idmn,0.7944716203589609,22,0.20808721247266534,8,True,0,True
wavelet-LHL_glcm_Idn,0.7681181041681479,22,0.2943321487768464,8,True,0,True
wavelet-LHL_glcm_Imc1,0.26827668136060684,22,0.17323565888779793,8,False,0,False
wavelet-LHL_glcm_Imc2,0.6921113941340766,22,0.5984282897370968,8,False,0,False
wavelet-LHL_glcm_InverseVariance,0.7416435428401952,22,-0.2530610664996837,8,False,0,False
wavelet-LHL_glcm_JointAverage,0.7805543868625762,22,-0.12952333532271876,8,True,0,True
wavelet-LHL_glcm_JointEnergy,0.42990192964450274,22,-0.29540097318596026,8,False,0,False
wavelet-LHL_glcm_JointEntropy,0.6971994855212152,22,-0.5777583842138881,8,False,0,False
wavelet-LHL_glcm_MCC,0.6437639099287654,22,0.11973858189033602,8,False,0,False
wavelet-LHL_glcm_MaximumProbability,0.4551596373502032,22,-0.3285895385794449,8,False,0,False
wavelet-LHL_glcm_SumAverage,0.7805543868625757,22,-0.1295233353227182,8,True,0,True
wavelet-LHL_glcm_SumEntropy,0.7552897454496377,22,-0.6709339680568115,8,True,0,True
wavelet-LHL_glcm_SumSquares,0.6959339894489632,22,-0.681821323192377,8,False,0,False
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.7780373977892784,22,0.4963395854715064,8,True,0,True
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.6553253054425521,22,-0.5111234220934925,8,False,0,False
wavelet-LHL_glrlm_GrayLevelVariance,0.7149723539710326,22,-0.6234256115185497,8,False,0,False
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.8195271549903229,22,-0.06844667694253541,8,True,0,True
wavelet-LHL_glrlm_LongRunEmphasis,0.1328835007634768,22,-0.17601248110317613,8,False,0,False
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.8241400463081324,22,0.19055309831008882,8,True,0,True
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.10995281606197968,22,-0.11117566548618052,8,False,0,False
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.3452674776579073,22,-0.2612589994767637,8,False,0,False
wavelet-LHL_glrlm_RunEntropy,0.7658235486016501,22,0.12891778644963828,8,True,0,True
wavelet-LHL_glrlm_RunLengthNonUniformity,0.707878768956477,22,0.688085035152734,8,False,0,False
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.45337968829784697,22,-0.41973128467695375,8,False,0,False
wavelet-LHL_glrlm_RunPercentage,0.3680362883464563,22,-0.3562810429349987,8,False,0,False
wavelet-LHL_glrlm_RunVariance,0.09614392044169215,22,-0.15881731240899102,8,False,0,False
wavelet-LHL_glrlm_ShortRunEmphasis,0.3577477587491286,22,-0.3367683165112385,8,False,0,False
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.8190029933766031,22,-0.11092101718628118,8,True,0,True
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.40653740157515156,22,-0.27051319413850317,8,False,0,False
wavelet-LHL_glszm_GrayLevelNonUniformity,0.7512657467604039,22,0.7554558927554206,8,True,0,True
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.6953285544448061,22,-0.37352158020724385,8,False,0,False
wavelet-LHL_glszm_GrayLevelVariance,0.6625576935995262,22,-0.2626702519376451,8,False,0,False
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.8181084622138568,22,-0.12983524188407525,8,True,0,True
wavelet-LHL_glszm_LargeAreaEmphasis,-0.0001749518381254862,22,-0.06499519376441892,8,False,0,False
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.8073101995168477,22,0.30438129165584643,8,True,0,True
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,-0.0031174925665625216,22,-0.014746350053602652,8,False,0,False
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.35744150215285,22,-0.22268314483613408,8,False,0,False
wavelet-LHL_glszm_SizeZoneNonUniformity,0.6280402530624474,22,0.5754976418334711,8,False,0,False
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.3280168757492434,22,-0.31036220893327526,8,False,0,False
wavelet-LHL_glszm_SmallAreaEmphasis,0.23049131411432702,22,-0.26124107373456845,8,False,0,False
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.8187513778551737,22,-0.13411783496677562,8,True,0,True
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.5418924788846904,22,-0.26040727016826404,8,False,0,False
wavelet-LHL_glszm_ZoneEntropy,0.7588856213576399,22,-0.062080588943504635,8,True,0,True
wavelet-LHL_glszm_ZonePercentage,0.7891631700345375,22,-0.578970663620957,8,True,0,True
wavelet-LHL_glszm_ZoneVariance,-5.891599723088013e-05,22,-0.06569752290115384,8,False,0,False
wavelet-LHL_gldm_DependenceEntropy,0.6700157172772436,22,0.24644815256684402,8,False,0,False
wavelet-LHL_gldm_DependenceNonUniformity,0.6597770960445548,22,0.6808205582074969,8,False,0,False
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.8004764571517349,22,-0.541370876292587,8,True,0,True
wavelet-LHL_gldm_DependenceVariance,0.2783819811381797,22,-0.27948901854918834,8,False,0,False
wavelet-LHL_gldm_GrayLevelNonUniformity,0.6857614957128276,22,0.24172143540040741,8,False,0,False
wavelet-LHL_gldm_GrayLevelVariance,0.7190747764539412,22,-0.6679359513304395,8,False,0,False
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.8196533998970424,22,-0.06525748444681022,8,True,0,True
wavelet-LHL_gldm_LargeDependenceEmphasis,0.18659694899090826,22,-0.22043980456212156,8,False,0,False
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.8655711023056838,22,0.5038768414369597,8,True,0,True
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.044982696026100624,22,-0.0711517276282224,8,False,0,False
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.3452175671965167,22,-0.2624767202383328,8,False,0,False
wavelet-LHL_gldm_SmallDependenceEmphasis,0.7553773320621235,22,-0.6202720371131799,8,True,0,True
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.8353795780886727,22,-0.22196884633078065,8,True,0,True
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.43757004262436283,22,0.2669115940044297,8,False,0,False
wavelet-LHL_ngtdm_Busyness,0.3286897493762554,22,-0.3332688247043776,8,False,0,False
wavelet-LHL_ngtdm_Coarseness,0.7084788829019695,22,0.3850065593168794,8,False,0,False
wavelet-LHL_ngtdm_Complexity,0.6348971822331319,22,-0.164007869226985,8,False,0,False
wavelet-LHL_ngtdm_Contrast,0.9155744064392998,22,-0.016560727964835903,8,True,0,True
wavelet-LHL_ngtdm_Strength,0.9717402443689589,22,-0.36578452787060417,8,True,0,True
wavelet-LHH_firstorder_10Percentile,0.7828931042972003,22,-0.44293961530356885,8,True,0,True
wavelet-LHH_firstorder_90Percentile,0.8086203253892349,22,-0.506062064236135,8,True,0,True
wavelet-LHH_firstorder_Energy,0.520779190583188,22,0.1546015155735085,8,False,0,False
wavelet-LHH_firstorder_Entropy,0.6855090917531039,22,-0.5397772146049002,8,False,0,False
wavelet-LHH_firstorder_InterquartileRange,0.7997636236512279,22,-0.4834060659480363,8,True,0,True
wavelet-LHH_firstorder_Kurtosis,0.7709408746036004,22,0.5683966677434645,8,True,0,True
wavelet-LHH_firstorder_Maximum,0.5084454145202949,22,0.32226904051232147,8,False,0,False
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.7798282306334806,22,-0.465179955616952,8,True,0,True
wavelet-LHH_firstorder_Mean,0.15015422762678338,22,-0.10153887877250545,8,False,0,False
wavelet-LHH_firstorder_Median,0.3563898962199076,22,0.00956850192930397,8,False,0,False
