analysis_side,comparison_id,comparison_group,left_model,right_model,common_population,common_n,common_event_n,metric,left_estimate,right_estimate,delta_right_minus_left,left_source_run,right_source_run,left_training_population,right_training_population,fold_assignments_identical,common_population_rule
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,42,uno_c_index,0.6850523003677716,0.6691712325151621,-0.015881067852609565,M1,M2,main,main,not_applicable_external,True
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,42,3_year_auc,0.6434359239745422,0.6199937202164867,-0.023442203758055502,M1,M2,main,main,not_applicable_external,True
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,42,3_year_brier,0.1288558288619232,0.13060787017920902,0.0017520413172858185,M1,M2,main,main,not_applicable_external,True
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,42,5_year_auc,0.682666769345155,0.6711622639894261,-0.011504505355728889,M1,M2,main,main,not_applicable_external,True
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,42,5_year_brier,0.1637893282323237,0.16603801870253412,0.002248690470210424,M1,M2,main,main,not_applicable_external,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,99,harrell_c_index_pooled,0.6144978562707629,0.5732985036485988,-0.04119935262216412,M2_dual,M4,dual_radiomics,dual_radiomics,True,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,99,uno_c_index,0.609492268451469,0.5293406342703204,-0.08015163418114857,M2_dual,M4,dual_radiomics,dual_radiomics,True,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,99,3_year_auc,0.6574466611072197,0.6161083847343295,-0.041338276372890226,M2_dual,M4,dual_radiomics,dual_radiomics,True,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,99,3_year_brier,0.12569526044225415,0.12413824886388712,-0.0015570115783670319,M2_dual,M4,dual_radiomics,dual_radiomics,True,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,99,5_year_auc,0.660946085809331,0.6302632043796031,-0.03068288142972786,M2_dual,M4,dual_radiomics,dual_radiomics,True,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,99,5_year_brier,0.15491882593921033,0.15704436824673462,0.002125542307524292,M2_dual,M4,dual_radiomics,dual_radiomics,True,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,35,harrell_c_index_pooled,0.6497272466264714,0.6652311225954637,0.015503875968992276,M2_dual,M4,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,35,uno_c_index,0.6701412957977333,0.6624409492301485,-0.0077003465675847815,M2_dual,M4,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,35,3_year_auc,0.5973926780512653,0.6466230270240043,0.049230348972739035,M2_dual,M4,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,35,3_year_brier,0.13903868119829707,0.12581437387596575,-0.013224307322331319,M2_dual,M4,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,35,5_year_auc,0.6754324046829808,0.6686841445554812,-0.006748260127499628,M2_dual,M4,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,35,5_year_brier,0.17180054990007373,0.16759422081755446,-0.004206329082519278,M2_dual,M4,dual_radiomics,dual_radiomics,not_applicable_external,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,99,harrell_c_index_pooled,0.5892274056617167,0.5984269854339987,0.00919957977228203,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,True,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,99,uno_c_index,0.5351813737690236,0.5943708916545483,0.05918951788552462,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,True,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,99,3_year_auc,0.6274442307154542,0.6481590925627176,0.020714861847263455,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,True,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,99,3_year_brier,0.1223843896119812,0.12379646627686242,0.0014120766648812177,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,True,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,99,5_year_auc,0.6361015960956371,0.6552962906696099,0.019194694573972826,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,True,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,99,5_year_brier,0.15486084437564565,0.15275184612723,-0.00210899824841565,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,True,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,35,harrell_c_index_pooled,0.6382428940568475,0.6833189778926213,0.04507608383577377,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,35,uno_c_index,0.6589050874539908,0.6765045921406989,0.017599504686708123,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,35,3_year_auc,0.6214051520843878,0.64733762832195,0.02593247623756212,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,35,3_year_brier,0.13113572912468088,0.1293561223663552,-0.001779606758325697,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,35,5_year_auc,0.6368462393075749,0.7131182965476104,0.0762720572400355,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,35,5_year_brier,0.1753671420546451,0.15957977844698235,-0.015787363607662752,M3L_dual,M3H_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,99,harrell_c_index_pooled,0.5732985036485988,0.5903915500156166,0.017093046367017806,M4,M5_dual,dual_radiomics,dual_radiomics,True,True
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,99,uno_c_index,0.5293406342703204,0.5105451516032621,-0.018795482667058327,M4,M5_dual,dual_radiomics,dual_radiomics,True,True
