feature,stage,reason
log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.584 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.550 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.650 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.728 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.556 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,icc,ICC_A=0.597 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,icc,ICC_A=0.664 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.733 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,icc,ICC_A=0.609 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.652 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.658 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.701 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,icc,ICC_A=0.601 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,icc,ICC_A=0.669 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.734 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,icc,ICC_A=0.683 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.521 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.681 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Busyness,icc,ICC_A=0.713 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Coarseness,icc,ICC_A=0.499 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Complexity,icc,ICC_A=0.697 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Strength,icc,ICC_A=0.644 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterColumn,correlation,|r|=0.941 与 log-sigma-1-0-mm-3D_shape_MajorAxisLength
log-sigma-1-0-mm-3D_glcm_InverseVariance,correlation,|r|=0.999 与 log-sigma-1-0-mm-3D_glcm_Imc1
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,correlation,|r|=0.973 与 log-sigma-1-0-mm-3D_glcm_Imc1
