repeat_id,fold,imputation,radiomics_after_filter,model2_nonzero,model3_radiomics_nonzero
8,2,20,103,3,0
8,3,1,105,7,3
8,3,2,105,7,2
8,3,3,105,7,4
8,3,4,105,7,0
8,3,5,105,7,4
8,3,6,105,7,0
8,3,7,105,7,4
8,3,8,105,7,0
8,3,9,105,7,0
8,3,10,105,7,0
8,3,11,105,7,0
8,3,12,105,7,4
8,3,13,105,7,0
8,3,14,105,7,2
8,3,15,105,7,3
8,3,16,105,7,6
8,3,17,105,7,2
8,3,18,105,7,2
8,3,19,105,7,3
8,3,20,105,7,2
8,4,1,102,1,0
8,4,2,102,1,0
8,4,3,102,1,0
8,4,4,102,1,0
8,4,5,102,1,0
8,4,6,102,1,0
8,4,7,102,1,0
8,4,8,102,1,0
8,4,9,102,1,0
8,4,10,102,1,0
8,4,11,102,1,0
8,4,12,102,1,0
8,4,13,102,1,0
8,4,14,102,1,0
8,4,15,102,1,0
8,4,16,102,1,0
8,4,17,102,1,0
8,4,18,102,1,0
8,4,19,102,1,0
8,4,20,102,1,0
8,5,1,110,0,0
8,5,2,110,0,0
8,5,3,110,0,0
8,5,4,110,0,0
8,5,5,110,0,0
8,5,6,110,0,0
8,5,7,110,0,0
8,5,8,110,0,0
8,5,9,110,0,0
8,5,10,110,0,0
8,5,11,110,0,0
8,5,12,110,0,0
8,5,13,110,0,0
8,5,14,110,0,0
8,5,15,110,0,0
8,5,16,110,0,0
8,5,17,110,0,0
8,5,18,110,0,0
8,5,19,110,0,0
8,5,20,110,0,0
9,1,1,104,0,0
9,1,2,104,0,0
9,1,3,104,0,0
9,1,4,104,0,0
9,1,5,104,0,0
9,1,6,104,0,0
9,1,7,104,0,0
9,1,8,104,0,0
9,1,9,104,0,0
9,1,10,104,0,0
9,1,11,104,0,0
9,1,12,104,0,0
9,1,13,104,0,0
9,1,14,104,0,0
9,1,15,104,0,0
9,1,16,104,0,0
9,1,17,104,0,0
9,1,18,104,0,0
9,1,19,104,0,0
9,1,20,104,0,0
9,2,1,105,0,0
9,2,2,105,0,0
9,2,3,105,0,0
9,2,4,105,0,0
9,2,5,105,0,0
9,2,6,105,0,0
9,2,7,105,0,0
9,2,8,105,0,0
9,2,9,105,0,0
9,2,10,105,0,0
9,2,11,105,0,0
9,2,12,105,0,0
9,2,13,105,0,0
9,2,14,105,0,0
9,2,15,105,0,0
9,2,16,105,0,0
9,2,17,105,0,0
9,2,18,105,0,0
9,2,19,105,0,0
9,2,20,105,0,0
9,3,1,105,0,0
9,3,2,105,0,0
9,3,3,105,0,0
9,3,4,105,0,0
9,3,5,105,0,0
9,3,6,105,0,0
9,3,7,105,0,0
9,3,8,105,0,0
9,3,9,105,0,0
9,3,10,105,0,0
9,3,11,105,0,0
9,3,12,105,0,0
9,3,13,105,0,0
9,3,14,105,0,0
9,3,15,105,0,0
9,3,16,105,0,0
9,3,17,105,0,0
9,3,18,105,0,0
9,3,19,105,0,0
9,3,20,105,0,0
9,4,1,101,9,0
9,4,2,101,9,0
9,4,3,101,9,0
9,4,4,101,9,0
9,4,5,101,9,0
9,4,6,101,9,0
9,4,7,101,9,0
9,4,8,101,9,0
9,4,9,101,9,0
9,4,10,101,9,0
9,4,11,101,9,0
9,4,12,101,9,0
9,4,13,101,9,0
9,4,14,101,9,0
9,4,15,101,9,0
9,4,16,101,9,0
9,4,17,101,9,0
9,4,18,101,9,0
9,4,19,101,9,0
9,4,20,101,9,0
9,5,1,106,0,0
9,5,2,106,0,0
9,5,3,106,0,0
9,5,4,106,0,0
9,5,5,106,0,0
9,5,6,106,0,0
9,5,7,106,0,0
9,5,8,106,0,0
9,5,9,106,0,0
9,5,10,106,0,0
9,5,11,106,0,0
9,5,12,106,0,0
9,5,13,106,0,0
9,5,14,106,0,0
9,5,15,106,0,0
9,5,16,106,0,0
9,5,17,106,0,0
9,5,18,106,0,0
9,5,19,106,0,0
9,5,20,106,0,0
10,1,1,105,0,0
10,1,2,105,0,0
10,1,3,105,0,0
10,1,4,105,0,0
10,1,5,105,0,0
10,1,6,105,0,0
10,1,7,105,0,0
10,1,8,105,0,0
10,1,9,105,0,0
10,1,10,105,0,0
10,1,11,105,0,0
10,1,12,105,0,0
10,1,13,105,0,0
10,1,14,105,0,0
10,1,15,105,0,0
10,1,16,105,0,0
10,1,17,105,0,0
10,1,18,105,0,0
10,1,19,105,0,0
10,1,20,105,0,0
10,2,1,102,0,0
10,2,2,102,0,0
10,2,3,102,0,0
10,2,4,102,0,0
10,2,5,102,0,0
10,2,6,102,0,0
10,2,7,102,0,0
10,2,8,102,0,0
10,2,9,102,0,0
10,2,10,102,0,0
10,2,11,102,0,0
10,2,12,102,0,0
10,2,13,102,0,0
10,2,14,102,0,0
10,2,15,102,0,0
10,2,16,102,0,0
10,2,17,102,0,0
10,2,18,102,0,0
10,2,19,102,0,0
10,2,20,102,0,0
10,3,1,105,0,0
10,3,2,105,0,0
10,3,3,105,0,0
10,3,4,105,0,0
10,3,5,105,0,0
10,3,6,105,0,0
10,3,7,105,0,0
10,3,8,105,0,0
10,3,9,105,0,0
10,3,10,105,0,0
10,3,11,105,0,0
10,3,12,105,0,0
10,3,13,105,0,0
10,3,14,105,0,0
10,3,15,105,0,0
10,3,16,105,0,0
10,3,17,105,0,0
10,3,18,105,0,0
10,3,19,105,0,0
10,3,20,105,0,0
10,4,1,105,8,0
10,4,2,105,8,7
10,4,3,105,8,0
10,4,4,105,8,0
10,4,5,105,8,6
10,4,6,105,8,7
10,4,7,105,8,0
10,4,8,105,8,0
10,4,9,105,8,5
10,4,10,105,8,0
10,4,11,105,8,7
10,4,12,105,8,6
10,4,13,105,8,0
10,4,14,105,8,0
10,4,15,105,8,0
10,4,16,105,8,0
10,4,17,105,8,0
10,4,18,105,8,6
10,4,19,105,8,7
10,4,20,105,8,6
10,5,1,109,4,0
10,5,2,109,4,0
10,5,3,109,4,0
10,5,4,109,4,0
10,5,5,109,4,0
10,5,6,109,4,0
10,5,7,109,4,0
10,5,8,109,4,0
10,5,9,109,4,0
10,5,10,109,4,0
10,5,11,109,4,0
10,5,12,109,4,0
10,5,13,109,4,0
10,5,14,109,4,0
10,5,15,109,4,0
10,5,16,109,4,0
10,5,17,109,4,0
10,5,18,109,4,0
10,5,19,109,4,0
10,5,20,109,4,0
11,1,1,105,0,0
11,1,2,105,0,0
11,1,3,105,0,0
11,1,4,105,0,0
11,1,5,105,0,0
11,1,6,105,0,0
11,1,7,105,0,0
11,1,8,105,0,0
11,1,9,105,0,0
11,1,10,105,0,0
11,1,11,105,0,0
11,1,12,105,0,0
11,1,13,105,0,0
11,1,14,105,0,0
11,1,15,105,0,0
11,1,16,105,0,0
11,1,17,105,0,0
11,1,18,105,0,0
11,1,19,105,0,0
11,1,20,105,0,0
11,2,1,104,0,0
11,2,2,104,0,0
11,2,3,104,0,0
11,2,4,104,0,0
11,2,5,104,0,0
11,2,6,104,0,0
11,2,7,104,0,0
11,2,8,104,0,0
11,2,9,104,0,0
11,2,10,104,0,0
11,2,11,104,0,0
11,2,12,104,0,0
11,2,13,104,0,0
11,2,14,104,0,0
11,2,15,104,0,0
11,2,16,104,0,0
11,2,17,104,0,0
11,2,18,104,0,0
11,2,19,104,0,0
11,2,20,104,0,0
11,3,1,104,0,0
11,3,2,104,0,0
11,3,3,104,0,0
11,3,4,104,0,0
11,3,5,104,0,0
11,3,6,104,0,0
11,3,7,104,0,0
11,3,8,104,0,0
11,3,9,104,0,0
11,3,10,104,0,0
11,3,11,104,0,0
11,3,12,104,0,0
11,3,13,104,0,0
11,3,14,104,0,0
11,3,15,104,0,0
11,3,16,104,0,0
11,3,17,104,0,0
11,3,18,104,0,0
11,3,19,104,0,0
11,3,20,104,0,0
11,4,1,107,2,0
11,4,2,107,2,0
11,4,3,107,2,0
11,4,4,107,2,0
11,4,5,107,2,0
11,4,6,107,2,0
11,4,7,107,2,0
11,4,8,107,2,0
11,4,9,107,2,0
11,4,10,107,2,0
11,4,11,107,2,0
11,4,12,107,2,0
11,4,13,107,2,0
11,4,14,107,2,0
11,4,15,107,2,0
11,4,16,107,2,0
11,4,17,107,2,0
11,4,18,107,2,0
11,4,19,107,2,0
11,4,20,107,2,0
11,5,1,106,2,0
11,5,2,106,2,0
11,5,3,106,2,0
11,5,4,106,2,0
11,5,5,106,2,0
11,5,6,106,2,0
11,5,7,106,2,0
11,5,8,106,2,0
11,5,9,106,2,0
11,5,10,106,2,0
11,5,11,106,2,0
11,5,12,106,2,0
11,5,13,106,2,0
11,5,14,106,2,0
11,5,15,106,2,0
11,5,16,106,2,0
11,5,17,106,2,0
11,5,18,106,2,0
11,5,19,106,2,0
11,5,20,106,2,0
12,1,1,105,0,0
12,1,2,105,0,0
12,1,3,105,0,0
12,1,4,105,0,0
12,1,5,105,0,0
