feature,icc_A,n_A,icc_B,n_B,pass
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.5487513090688518,22,0.560213359880645,8,False
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.6980749336063761,22,0.25228175714566825,8,False
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.7287872704795091,22,0.33478293705093576,8,False
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.8487849467986851,22,-0.09511541388023671,8,True
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.8438022019588419,22,0.9235306956902329,8,True
log-sigma-2-0-mm-3D_glszm_ZoneVariance,0.8584358540782764,22,0.6261851090198036,8,True
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.6481111120945554,22,0.27378950350421666,8,False
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,0.5865306760335891,22,0.5178461404547265,8,False
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.8987002996535627,22,0.8788644870316193,8,True
log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.8761119058512096,22,0.899539837468685,8,True
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,0.8967660606520158,22,0.5597411646196196,8,True
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,0.6841104506661406,22,0.507268108572643,8,False
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,0.7152338278370389,22,0.43262334350974674,8,False
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,0.8774629375719687,22,0.8908586376395131,8,True
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.8628836037550046,22,0.554418211592261,8,True
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.7859963091494745,22,0.9234687632329138,8,True
log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,0.6936822194992119,22,0.8640469930547598,8,False
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.8390383146386935,22,0.9150195761473974,8,True
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.7020497237206466,22,0.3512537829103727,8,False
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.7473774416238833,22,0.14556656825773895,8,False
log-sigma-2-0-mm-3D_ngtdm_Busyness,0.7560439202316773,22,0.570866153125241,8,True
log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.6811115734285822,22,0.22131377850580394,8,False
log-sigma-2-0-mm-3D_ngtdm_Complexity,0.6374938645389409,22,0.1600676783964965,8,False
log-sigma-2-0-mm-3D_ngtdm_Contrast,0.8632636139650252,22,0.8711225856734983,8,True
log-sigma-2-0-mm-3D_ngtdm_Strength,0.6909166083370185,22,0.9349060155566242,8,False
log-sigma-3-0-mm-3D_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
log-sigma-3-0-mm-3D_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
log-sigma-3-0-mm-3D_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
log-sigma-3-0-mm-3D_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
log-sigma-3-0-mm-3D_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
log-sigma-3-0-mm-3D_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
log-sigma-3-0-mm-3D_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
log-sigma-3-0-mm-3D_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
log-sigma-3-0-mm-3D_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
log-sigma-3-0-mm-3D_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
log-sigma-3-0-mm-3D_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
log-sigma-3-0-mm-3D_firstorder_10Percentile,0.9315726290516211,22,0.608,8,True
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.709677419354839,22,0.8087431693989072,8,False
log-sigma-3-0-mm-3D_firstorder_Energy,0.7155828105914385,22,0.5323905685277606,8,False
log-sigma-3-0-mm-3D_firstorder_Entropy,0.8908854639386917,22,0.7267694520854452,8,True
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.818135506877229,22,0.6797385620915033,8,True
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.9349143229031525,22,0.6538261920911157,8,True
log-sigma-3-0-mm-3D_firstorder_Maximum,0.7318820611738772,22,0.288135593220339,8,False
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.8085176907082472,22,0.7247982236837212,8,True
log-sigma-3-0-mm-3D_firstorder_Mean,0.796030927054978,22,0.8936029583530086,8,True
log-sigma-3-0-mm-3D_firstorder_Median,0.7158119658119655,22,0.6557377049180327,8,False
log-sigma-3-0-mm-3D_firstorder_Minimum,0.8327803583278034,22,0.7843137254901961,8,True
log-sigma-3-0-mm-3D_firstorder_Range,0.7852724963035467,22,0.4850894632206759,8,True
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.8100400471607656,22,0.7686481670196371,8,True
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.7722709251083602,22,0.9014637519112625,8,True
log-sigma-3-0-mm-3D_firstorder_Skewness,0.7885812452668332,22,0.9444450890219778,8,True
log-sigma-3-0-mm-3D_firstorder_TotalEnergy,0.7155828105914384,22,0.5323905685277605,8,False
log-sigma-3-0-mm-3D_firstorder_Uniformity,0.9373176035757651,22,0.7941441614277409,8,True
log-sigma-3-0-mm-3D_firstorder_Variance,0.6692031109685237,22,0.6005890067932024,8,False
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.7182628048581385,22,0.8126075137165856,8,False
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.4022501324652108,22,0.21948902364031486,8,False
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.6608597432381073,22,0.8898661496384837,8,False
log-sigma-3-0-mm-3D_glcm_ClusterTendency,0.6330839506631352,22,0.5218967652378218,8,False
log-sigma-3-0-mm-3D_glcm_Contrast,0.7288665279858121,22,0.6920519992486123,8,False
log-sigma-3-0-mm-3D_glcm_Correlation,0.7040884223186948,22,0.5351322970575039,8,False
log-sigma-3-0-mm-3D_glcm_DifferenceAverage,0.8384345167537329,22,0.789856642957942,8,True
log-sigma-3-0-mm-3D_glcm_DifferenceEntropy,0.8454243617463313,22,0.7795216010866665,8,True
log-sigma-3-0-mm-3D_glcm_DifferenceVariance,0.7106865327595475,22,0.6487566677674396,8,False
log-sigma-3-0-mm-3D_glcm_Id,0.8852975275408815,22,0.8498378790332216,8,True
log-sigma-3-0-mm-3D_glcm_Idm,0.8854480288353674,22,0.8467162240586901,8,True
log-sigma-3-0-mm-3D_glcm_Idmn,0.9583602374746275,22,0.5336712019023929,8,True
log-sigma-3-0-mm-3D_glcm_Idn,0.9630624170154297,22,0.6757860188613009,8,True
