影像号,读者,split,filter,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-AD2B6907E7,R1,A,log-sigma-3-0-mm-3D,7904,0,0,0.0,0.0,-1.3882436752319336,0.9336493611335754
IMG-9E2C4ABE0B,R2,A,wavelet-LLH,20993,0,0,0.0,0.0,-3.1497020721435547,3.103396415710449
IMG-9E2C4ABE0B,R2,A,wavelet-LHL,20993,0,0,0.0,0.0,-5.18720006942749,3.463995933532715
IMG-9E2C4ABE0B,R2,A,wavelet-LHH,20993,0,0,0.0,0.0,-1.8060743808746338,1.772661805152893
IMG-9E2C4ABE0B,R2,A,wavelet-HLL,20993,0,0,0.0,0.0,-3.9496350288391113,3.545583486557007
IMG-9E2C4ABE0B,R2,A,wavelet-HLH,20993,0,0,0.0,0.0,-1.7546954154968262,1.9549287557601929
IMG-9E2C4ABE0B,R2,A,wavelet-HHL,20993,0,0,0.0,0.0,-2.7084593772888184,3.5273239612579346
IMG-9E2C4ABE0B,R2,A,wavelet-HHH,20993,0,0,0.0,0.0,-1.3877469301223755,1.3656078577041626
IMG-9E2C4ABE0B,R2,A,wavelet-LLL,20993,0,0,0.0,0.0,2.248408794403076,14.326621055603027
IMG-9E2C4ABE0B,R2,A,log-sigma-1-0-mm-3D,20993,0,0,0.0,0.0,-1.798644781112671,1.4109325408935547
IMG-9E2C4ABE0B,R2,A,log-sigma-2-0-mm-3D,20993,0,0,0.0,0.0,-1.2772868871688843,1.6260515451431274
IMG-9E2C4ABE0B,R2,A,log-sigma-3-0-mm-3D,20993,0,0,0.0,0.0,-1.0418570041656494,1.425964117050171
IMG-56F78D7F71,R1,A,wavelet-LLH,67626,0,0,0.0,0.0,-4.875556945800781,3.9525821208953857
IMG-56F78D7F71,R1,A,wavelet-LHL,67626,0,0,0.0,0.0,-3.826328754425049,5.059085369110107
IMG-56F78D7F71,R1,A,wavelet-LHH,67626,0,0,0.0,0.0,-1.675139307975769,1.7952547073364258
