feature,icc_before,n_pairs_x,icc_after,n_pairs_y,norm
original_glszm_LargeAreaHighGrayLevelEmphasis,0.9214115282557442,22,0.9207564736625761,22,muscle
original_glszm_LargeAreaLowGrayLevelEmphasis,0.9306678281707087,22,0.9364455632085712,22,muscle
original_glszm_LowGrayLevelZoneEmphasis,0.4474893417177957,22,0.493761115714899,22,muscle
original_glszm_SizeZoneNonUniformity,0.5266891906381511,22,0.5296074011728563,22,muscle
original_glszm_SizeZoneNonUniformityNormalized,0.6094428843031913,22,0.6210957036265649,22,muscle
original_glszm_SmallAreaEmphasis,0.5915690985908861,22,0.6159416835249476,22,muscle
original_glszm_SmallAreaHighGrayLevelEmphasis,0.5573184343227454,22,0.560146445942175,22,muscle
original_glszm_SmallAreaLowGrayLevelEmphasis,0.5291003508652758,22,0.5286191879785918,22,muscle
original_glszm_ZoneEntropy,0.7758693266438678,22,0.7506873792679721,22,muscle
original_glszm_ZonePercentage,0.7603523865914543,22,0.7696716752778644,22,muscle
original_glszm_ZoneVariance,0.787694658142288,22,0.7833480504872412,22,muscle
original_gldm_DependenceEntropy,0.749035090807375,22,0.7511573642484183,22,muscle
original_gldm_DependenceNonUniformity,0.6196007734399154,22,0.6193908847261792,22,muscle
original_gldm_DependenceNonUniformityNormalized,0.9003778234297186,22,0.9028135266168156,22,muscle
original_gldm_DependenceVariance,0.905006220745273,22,0.9014255711484126,22,muscle
original_gldm_GrayLevelNonUniformity,0.8676194699925515,22,0.8664811237570978,22,muscle
original_gldm_GrayLevelVariance,0.6937358564255741,22,0.6958840828910993,22,muscle
original_gldm_HighGrayLevelEmphasis,0.6983564119366774,22,0.7001868062053317,22,muscle
original_gldm_LargeDependenceEmphasis,0.8837166525951103,22,0.8708513255327717,22,muscle
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.719938140093782,22,0.7278205184542285,22,muscle
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.8975893592377101,22,0.7556413607287449,22,muscle
original_gldm_LowGrayLevelEmphasis,0.7918345513330495,22,0.8062774654033599,22,muscle
original_gldm_SmallDependenceEmphasis,0.7721030025299598,22,0.781618249271555,22,muscle
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.6379068989613661,22,0.6388609571932934,22,muscle
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.3070431890020216,22,0.5131773387760079,22,muscle
original_ngtdm_Busyness,0.7475240344704304,22,0.7514918941840819,22,muscle
original_ngtdm_Coarseness,0.6809051892767296,22,0.6828279652458721,22,muscle
original_ngtdm_Complexity,0.4539675118556667,22,0.4558076753746072,22,muscle
original_ngtdm_Contrast,0.8513147135614892,22,0.8543434705466542,22,muscle
original_ngtdm_Strength,0.558967428844528,22,0.5606405743856109,22,muscle
original_shape_Elongation,0.4697598842624501,22,0.4689547866374632,22,zscore
original_shape_Flatness,0.616507232972749,22,0.6164846939503607,22,zscore
original_shape_LeastAxisLength,0.7669594053436322,22,0.7666994131226085,22,zscore
original_shape_MajorAxisLength,0.7644796519635452,22,0.763893924011041,22,zscore
original_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.8171174796830222,22,zscore
original_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.7361909442434235,22,zscore
original_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.6490171098803964,22,zscore
original_shape_Maximum3DDiameter,0.739142709602197,22,0.7351858894546601,22,zscore
original_shape_MeshVolume,0.7283102577095294,22,0.7276336470154947,22,zscore
original_shape_MinorAxisLength,0.6657388317444173,22,0.6658781123848779,22,zscore
original_shape_Sphericity,0.5113266810893029,22,0.5100073449241029,22,zscore
original_shape_SurfaceArea,0.7442170545138365,22,0.7435556323002962,22,zscore
original_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.4968251817341963,22,zscore
original_shape_VoxelVolume,0.7286509529434513,22,0.7279763517296081,22,zscore
original_firstorder_10Percentile,0.29530201342281903,22,0.9918799070499377,22,zscore
original_firstorder_90Percentile,-4.579669976578774e-16,22,0.9971996722234984,22,zscore
original_firstorder_Energy,0.7286314992625098,22,0.7434266094250868,22,zscore
original_firstorder_Entropy,0.5489412516263128,22,0.5197737542441135,22,zscore
original_firstorder_InterquartileRange,0.44736842105263136,22,0.8576959187349509,22,zscore
original_firstorder_Kurtosis,0.28935754521931206,22,0.2881508318948017,22,zscore
original_firstorder_Maximum,0.5168840668048277,22,0.7769150192060108,22,zscore
original_firstorder_MeanAbsoluteDeviation,0.6617187979698943,22,0.9776655192017067,22,zscore
original_firstorder_Mean,0.18679530473385153,22,0.9999998177508342,22,zscore
original_firstorder_Median,0.6074766355140194,22,0.9971350573986887,22,zscore
original_firstorder_Minimum,0.5733997700268306,22,0.889329677604541,22,zscore
original_firstorder_Range,0.5878168462007495,22,0.7074200225185436,22,zscore
original_firstorder_RobustMeanAbsoluteDeviation,0.6649537436341577,22,0.9282871576215794,22,zscore
original_firstorder_RootMeanSquared,0.16462427710748137,22,0.9999998290765414,22,zscore
original_firstorder_Skewness,0.5229544872914149,22,0.5141215651121802,22,zscore
original_firstorder_TotalEnergy,0.7286314992625103,22,0.7434266094250871,22,zscore
original_firstorder_Uniformity,0.6272680879153463,22,0.6077671729991428,22,zscore
original_firstorder_Variance,0.06124123583902339,22,0.9999765299295056,22,zscore
original_glcm_Autocorrelation,0.5623096336507575,22,0.5288609104115903,22,zscore
original_glcm_ClusterProminence,0.2911931997092899,22,0.28613270947979785,22,zscore
