feature,stage,reason
wavelet-HLH_firstorder_InterquartileRange,icc,ICC_A=0.724 ≤ 0.75
wavelet-HLH_firstorder_Kurtosis,icc,ICC_A=0.664 ≤ 0.75
wavelet-HLH_firstorder_Maximum,icc,ICC_A=0.433 ≤ 0.75
wavelet-HLH_firstorder_Mean,icc,ICC_A=0.567 ≤ 0.75
wavelet-HLH_firstorder_Median,icc,ICC_A=-1.100 ≤ 0.75
wavelet-HLH_firstorder_Minimum,icc,ICC_A=0.687 ≤ 0.75
wavelet-HLH_firstorder_Range,icc,ICC_A=0.611 ≤ 0.75
wavelet-HLH_firstorder_RootMeanSquared,icc,ICC_A=0.594 ≤ 0.75
wavelet-HLH_firstorder_Skewness,icc,ICC_A=0.654 ≤ 0.75
wavelet-HLH_firstorder_TotalEnergy,icc,ICC_A=0.729 ≤ 0.75
wavelet-HLH_glcm_Autocorrelation,icc,ICC_A=0.623 ≤ 0.75
wavelet-HLH_glcm_ClusterShade,icc,ICC_A=0.721 ≤ 0.75
wavelet-HLH_glcm_Correlation,icc,ICC_A=0.652 ≤ 0.75
wavelet-HLH_glcm_Idmn,icc,ICC_A=0.471 ≤ 0.75
wavelet-HLH_glcm_Idn,icc,ICC_A=0.467 ≤ 0.75
wavelet-HLH_glcm_Imc1,icc,ICC_A=0.711 ≤ 0.75
wavelet-HLH_glcm_JointAverage,icc,ICC_A=0.686 ≤ 0.75
wavelet-HLH_glcm_MCC,icc,ICC_A=0.741 ≤ 0.75
wavelet-HLH_glcm_SumAverage,icc,ICC_A=0.686 ≤ 0.75
wavelet-HLH_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.650 ≤ 0.75
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.627 ≤ 0.75
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.593 ≤ 0.75
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.662 ≤ 0.75
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.609 ≤ 0.75
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.633 ≤ 0.75
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.595 ≤ 0.75
wavelet-HLH_glszm_GrayLevelVariance,icc,ICC_A=0.747 ≤ 0.75
