feature,stage,reason
log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.673 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.658 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,icc,ICC_A=0.462 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_RunEntropy,icc,ICC_A=0.682 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.714 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,icc,ICC_A=0.692 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_RunPercentage,icc,ICC_A=0.705 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_ShortRunEmphasis,icc,ICC_A=0.708 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,icc,ICC_A=0.298 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.491 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,icc,ICC_A=0.448 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.632 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,icc,ICC_A=0.302 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.673 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.135 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.675 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,icc,ICC_A=0.659 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.674 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.653 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.609 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.709 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,icc,ICC_A=0.685 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_ZonePercentage,icc,ICC_A=0.507 ≤ 0.75
log-sigma-3-0-mm-3D_glszm_ZoneVariance,icc,ICC_A=0.305 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,icc,ICC_A=0.696 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,icc,ICC_A=0.641 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity,icc,ICC_A=0.706 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,icc,ICC_A=0.489 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,icc,ICC_A=0.750 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,icc,ICC_A=0.572 ≤ 0.75
log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.542 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Busyness,icc,ICC_A=0.593 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Coarseness,icc,ICC_A=0.499 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Complexity,icc,ICC_A=0.677 ≤ 0.75
log-sigma-3-0-mm-3D_ngtdm_Strength,icc,ICC_A=0.298 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterColumn,correlation,|r|=0.941 与 log-sigma-1-0-mm-3D_shape_MajorAxisLength
log-sigma-1-0-mm-3D_firstorder_Variance,correlation,|r|=0.935 与 log-sigma-1-0-mm-3D_firstorder_Uniformity
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,correlation,|r|=0.913 与 log-sigma-1-0-mm-3D_firstorder_Uniformity
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,correlation,|r|=0.921 与 log-sigma-1-0-mm-3D_firstorder_Uniformity
log-sigma-1-0-mm-3D_glcm_Id,correlation,|r|=0.923 与 log-sigma-1-0-mm-3D_glcm_Contrast
log-sigma-1-0-mm-3D_glcm_Idm,correlation,|r|=0.921 与 log-sigma-1-0-mm-3D_glcm_Contrast
log-sigma-1-0-mm-3D_glcm_InverseVariance,correlation,|r|=0.921 与 log-sigma-1-0-mm-3D_glcm_Contrast
log-sigma-1-0-mm-3D_glcm_JointEnergy,correlation,|r|=0.964 与 log-sigma-1-0-mm-3D_glcm_Contrast
log-sigma-1-0-mm-3D_glcm_JointEntropy,correlation,|r|=0.958 与 log-sigma-1-0-mm-3D_glcm_Contrast
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,correlation,|r|=0.999 与 log-sigma-1-0-mm-3D_glcm_Contrast
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_glcm_MaximumProbability
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,correlation,|r|=0.907 与 log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,correlation,|r|=0.902 与 log-sigma-1-0-mm-3D_glrlm_RunPercentage
log-sigma-1-0-mm-3D_glszm_ZonePercentage,correlation,|r|=0.918 与 log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,correlation,|r|=0.932 与 log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_glcm_MaximumProbability
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,correlation,|r|=0.952 与 log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,correlation,|r|=0.926 与 log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity
log-sigma-2-0-mm-3D_shape_LeastAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_LeastAxisLength
log-sigma-2-0-mm-3D_shape_MajorAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_MajorAxisLength
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterColumn,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_firstorder_10Percentile
log-sigma-2-0-mm-3D_glcm_SumEntropy,correlation,|r|=0.984 与 log-sigma-2-0-mm-3D_glcm_JointEntropy
log-sigma-2-0-mm-3D_glcm_SumSquares,correlation,|r|=0.979 与 log-sigma-2-0-mm-3D_glcm_SumAverage
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,correlation,|r|=0.985 与 log-sigma-2-0-mm-3D_glcm_JointEntropy
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,correlation,|r|=0.932 与 log-sigma-2-0-mm-3D_gldm_DependenceEntropy
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,correlation,|r|=0.991 与 log-sigma-2-0-mm-3D_firstorder_10Percentile
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,correlation,|r|=1.000 与 log-sigma-2-0-mm-3D_glrlm_RunPercentage
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,correlation,|r|=0.947 与 log-sigma-2-0-mm-3D_gldm_DependenceEntropy
log-sigma-3-0-mm-3D_shape_LeastAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_LeastAxisLength
log-sigma-3-0-mm-3D_shape_MajorAxisLength,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_shape_MajorAxisLength
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterColumn,correlation,|r|=1.000 与 log-sigma-1-0-mm-3D_firstorder_10Percentile
log-sigma-3-0-mm-3D_firstorder_Mean,correlation,|r|=0.958 与 log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis
log-sigma-3-0-mm-3D_firstorder_Median,correlation,|r|=0.958 与 log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,correlation,|r|=0.956 与 log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,correlation,|r|=0.932 与 log-sigma-3-0-mm-3D_glcm_Idmn
log-sigma-3-0-mm-3D_glrlm_RunVariance,correlation,|r|=0.939 与 log-sigma-3-0-mm-3D_glcm_Idmn
